Disease/Trait (PheGenI),Main categories (PheGenI),Entries utilized in this study,Ensembl ID,GWAS eGene ID,Ensembl gene category,Ensembl biotype,Genomic location of transcript,Mean expression in classical monocytes (TPM),Mean expression in non-classical monocytes (TPM),"Mean expression in
NK cells (TPM)",Mean expression in naïve B cells (TPM),Mean expression in naïve CD4+ T cells (TPM),Mean expression in naïve CD8+ T cells (TPM),"Mean expression in activated naïve
CD4+ T cells (TPM)","Mean expression in activated naïve
CD8+ T cells (TPM)",Mean expression in naïve TREG cells (TPM),Mean expression in memory TREG cells (TPM),"Mean expression in
TH1 cells (TPM)",Mean expression in TH1/17 cells (TPM),"Mean expression in
TH17 cells (TPM)","Mean expression in
TH2 cells (TPM)","Mean expression in
TFH cells (TPM)","Adj. association P value in
classical monocytes","Adj. association P value in
non-classical monocytes","Adj. association P value in
NK cells","Adj. association P value in
naïve B cells","Adj.association P value in
naïve CD4+ T cells","Adj. association P value in
naïve CD8+ T cells",Adj. association P value in activated naïve CD4+ T cells,Adj. association P value in activated naïve CD8+ T cells,"Adj. association P value in
naïve TREG cells","Adj. association P value in
memory TREG cells","Adj. association P value in
TH1 cells","Adj. association P value in
TH1/17 cells","Adj.association P value in
TH17 cells","Adj. association P value in
TH2 cells","Adj. association P value in
TFH cells",Count of cell types with GWAS eGenes
Body fat distribution,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000251417.1,RP11-1348G14.4,lincRNA,lncRNA,"chr16:28,814,097-28,829,149",0.8,0.3,1.1,0.5,0.7,0.8,1.2,1.2,1.2,0.8,0.6,0.5,0.4,0.4,0.5,N/A,N/A,N/A,N/A,N/A,N/A,4.40E-02,N/A,6.17E-04,N/A,N/A,N/A,N/A,N/A,N/A,2
Body fat distribution,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000260796.1,RP11-1348G14.5,antisense,lncRNA,"chr16:28,831,891-28,833,354",2.5,0.5,2,1.2,1.1,1.4,2.3,2.3,1.3,1.1,0.8,0.8,0.7,0.6,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.11E-03,N/A,N/A,N/A,N/A,N/A,N/A,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000006607.9,FARP2,protein coding,Protein-coding transcript,"chr2:242,295,658-242,434,256",4.7,12.1,6.1,30,5.3,5,10.5,10,5.8,7.1,5.2,4.9,5.2,5.5,5.2,2.56E-03,5.01E-03,1.71E-05,8.38E-07,4.10E-06,1.34E-05,1.55E-03,2.83E-04,3.98E-05,9.81E-08,9.72E-05,9.47E-07,1.88E-06,3.18E-05,6.56E-08,15
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000010803.12,SCMH1,protein coding,Protein-coding transcript,"chr1:41,492,872-41,707,826",8,10.8,9.6,30.2,23.3,20.3,17.4,17.4,32.9,33.7,33,29.5,30.1,31.7,33.3,N/A,N/A,N/A,2.93E-02,1.76E-02,N/A,N/A,N/A,2.75E-02,N/A,N/A,N/A,N/A,N/A,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000023839.6,ABCC2,protein coding,Protein-coding transcript,"chr10:101,542,489-101,611,949",1.9,2,4.7,7.5,7.8,6.6,1.8,2.3,7.7,5.9,5.5,4.8,5.7,5.6,5.7,2.18E-03,1.18E-02,1.59E-02,4.81E-03,6.47E-05,1.67E-02,N/A,N/A,3.52E-03,2.83E-04,2.61E-03,2.26E-03,3.67E-05,6.12E-03,5.36E-03,13
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000023892.9,DEF6,protein coding,Protein-coding transcript,"chr6:35,265,595-35,289,548",87.4,58.7,238.8,86,201.9,236.2,56.7,71.5,227.3,348.5,265.8,181.8,223.6,237.7,311.3,1.33E-03,6.43E-04,N/A,3.03E-03,N/A,1.52E-02,N/A,N/A,N/A,N/A,1.91E-02,N/A,2.59E-02,2.38E-02,N/A,7
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000030066.9,NUP160,protein coding,Protein-coding transcript,"chr11:47,799,639-47,870,107",14.6,16.6,35.7,85.5,68.5,54.9,75.7,74,58.5,36.1,51.7,57.8,54.1,55.3,50.9,9.66E-06,2.17E-09,N/A,3.18E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000044090.4,CUL7,protein coding,Protein-coding transcript,"chr6:43,005,355-43,021,683",6.5,8.3,12.2,12.2,11.1,12.7,6.6,7.8,13.5,17,14.2,9.8,12.5,12.7,16.7,1.81E-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94E-04,7.01E-07,N/A,2.22E-02,1.14E-04,3.15E-05,4.15E-06,7
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000051825.10,MPHOSPH9,protein coding,Protein-coding transcript,"chr12:123,636,867-123,728,561",8.9,14,48.4,28.2,57.4,62.3,22.3,25.7,47.5,33,35.8,38.5,31.9,36.4,35.6,4.23E-03,2.03E-03,N/A,N/A,N/A,N/A,N/A,N/A,1.27E-03,2.00E-02,N/A,2.50E-02,7.41E-03,5.21E-03,3.37E-03,8
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000055955.11,ITIH4,protein coding,Protein-coding transcript,"chr3:52,846,991-52,865,495",1.2,2,1,1.1,1.3,1.3,0.3,0.3,1.9,3.2,1.9,1.5,1.9,1.7,2,1.32E-04,5.18E-04,N/A,N/A,1.21E-02,2.26E-03,N/A,N/A,1.84E-04,2.27E-02,N/A,N/A,4.58E-02,2.89E-02,2.38E-02,9
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000064651.9,SLC12A2,protein coding,Protein-coding transcript,"chr5:127,419,458-127,525,380",1.2,2.7,5.7,11.7,5.3,5.1,16.1,14.4,6.1,4.1,4.3,6.1,4.7,5.4,3.9,3.00E-03,2.05E-02,N/A,N/A,N/A,4.29E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000065060.12,UHRF1BP1,protein coding,Protein-coding transcript,"chr6:34,759,857-34,850,915",25.8,101.7,44.1,40.1,37.2,42.4,27.8,32.4,35.7,24.8,31.2,32.8,28.8,29.6,28.3,3.41E-16,4.27E-09,4.07E-06,3.43E-04,7.94E-21,2.43E-07,2.03E-10,3.27E-04,2.96E-16,1.72E-20,6.08E-19,1.81E-20,6.70E-23,1.78E-21,8.41E-23,15
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000067113.12,PPAP2A,protein coding,Protein-coding transcript,"chr5:54,720,682-54,830,878",0.8,1.7,2.5,4.5,11.6,12.1,6.9,9.1,6.3,3.5,5.4,5.2,6.1,6.6,5.8,N/A,2.87E-02,N/A,N/A,N/A,4.99E-03,N/A,1.45E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000073792.11,IGF2BP2,protein coding,Protein-coding transcript,"chr3:185,361,527-185,542,844",11.5,12.6,2.9,0,0.1,0,0.1,0.1,0,0.1,0,0,0,0,0.1,N/A,N/A,5.44E-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000075292.14,ZNF638,protein coding,Protein-coding transcript,"chr2:71,503,691-71,662,199",18.3,26.6,31.7,47.8,54.8,44.7,28.5,34.5,46.8,31,39,42.6,38.4,41.1,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.35E-02,N/A,N/A,3.79E-02,N/A,N/A,N/A,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000084676.11,NCOA1,protein coding,Protein-coding transcript,"chr2:24,714,783-24,993,571",64.5,70.1,150.1,46.4,68.7,55.6,27.8,32.4,63.7,65.5,59.7,60.3,58.7,57.5,58.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.29E-02,N/A,N/A,N/A,N/A,N/A,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000087191.8,PSMC5,protein coding,Protein-coding transcript,"chr17:61,904,512-61,909,379",35.8,51.3,77.3,31.8,60,71.4,65.3,81.3,58.1,91.7,69.7,66.4,83,75.2,74.8,1.54E-02,1.89E-02,3.47E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000088970.11,PLK1S1,processed transcript,lncRNA,"chr20:21,106,624-21,227,260",10.8,17.4,30.4,33.2,31.1,29,7.1,8.2,27.5,27.6,27,25.6,23.8,24.8,22.8,7.31E-06,2.32E-03,N/A,N/A,N/A,3.92E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000090238.7,YPEL3,protein coding,Protein-coding transcript,"chr16:30,103,635-30,108,236",49.1,24.5,118.5,76.7,73.4,80.2,16.6,16.8,95.6,157.3,106.4,63,83.8,83.6,140,N/A,N/A,4.30E-03,3.27E-02,N/A,N/A,N/A,N/A,1.08E-02,1.56E-02,N/A,N/A,N/A,N/A,4.74E-06,5
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000095485.12,CWF19L1,protein coding,Protein-coding transcript,"chr10:101,992,055-102,027,437",21.4,21.1,32.2,48.6,41.2,39.1,30.4,33.6,39.7,38.3,36.2,34.7,35.3,37.4,36.7,9.49E-07,6.85E-05,N/A,N/A,6.33E-04,N/A,4.07E-05,1.68E-05,1.42E-02,4.32E-02,N/A,6.06E-03,4.01E-02,N/A,N/A,9
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000101347.7,SAMHD1,protein coding,Protein-coding transcript,"chr20:35,518,632-35,580,246",667.5,841.9,330.6,11.7,512.6,389.9,152.6,150,568.8,670.1,397.1,388.3,455.2,510.8,454.5,N/A,N/A,7.72E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000101353.10,MROH8,protein coding,Protein-coding transcript,"chr20:35,729,629-35,807,991",0.4,0.4,2.1,2.1,1.6,2,0.7,0.9,1.3,0.9,1.1,1,1.1,1.1,1.1,N/A,N/A,2.58E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.06E-04,N/A,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000102882.7,MAPK3,protein coding,Protein-coding transcript,"chr16:30,125,426-30,134,827",49.7,28.8,39.7,27.1,44.9,45.9,5.9,6,51.8,88.2,63.2,43.9,68.7,57.1,96.5,1.78E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.77E-02,N/A,N/A,N/A,4.53E-02,4.33E-02,4
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000103245.9,NARFL,protein coding,Protein-coding transcript,"chr16:779,753-791,329",3.5,2.9,5.4,4.8,4.2,5.8,3.2,3.5,6,8.7,7,4.2,5.6,5.9,9.3,N/A,N/A,N/A,1.35E-02,N/A,5.36E-03,N/A,N/A,6.63E-04,N/A,N/A,N/A,4.32E-02,N/A,4.18E-03,5
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000108179.9,PPIF,protein coding,Protein-coding transcript,"chr10:81,107,225-81,115,093",797.9,89.4,69.9,88.3,46.8,45.6,285.4,222.7,49.3,87,59.9,75.4,79.7,63.7,63.9,N/A,N/A,N/A,N/A,3.82E-02,5.12E-04,4.27E-02,N/A,2.54E-02,N/A,N/A,N/A,N/A,N/A,N/A,4
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000108592.12,FTSJ3,protein coding,Protein-coding transcript,"chr17:61,896,793-61,907,372",15.3,21.3,30.8,18.9,28.4,28.5,89.8,97.1,27.6,32.7,29,26.2,28.6,27.6,29.9,6.42E-08,9.11E-03,2.55E-07,N/A,7.37E-10,5.08E-12,1.29E-06,5.75E-06,2.07E-14,9.54E-10,2.00E-07,3.92E-13,1.44E-09,2.42E-10,5.50E-06,14
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000108604.11,SMARCD2,protein coding,Protein-coding transcript,"chr17:61,909,444-61,920,425",55.2,66.5,75.7,51.6,53.4,56.2,33.8,45,72.9,102.4,70,54.8,73.4,71.3,89.2,8.69E-04,N/A,N/A,N/A,N/A,N/A,2.46E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000108984.9,MAP2K6,protein coding,Protein-coding transcript,"chr17:67,410,839-67,539,472",10.7,1.6,7.8,4.4,13.8,11.3,0.5,0.3,9.2,7.2,11.9,12,12.2,15.2,12.5,N/A,N/A,N/A,1.13E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000111328.2,CDK2AP1,protein coding,Protein-coding transcript,"chr12:123,745,528-123,756,881",83.5,200.4,24.9,6.8,11.2,10.4,25.2,31,9.7,16.8,16.7,15.1,16.6,15.5,14.2,1.55E-04,4.44E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000111364.11,DDX55,protein coding,Protein-coding transcript,"chr12:124,086,624-124,105,488",12.1,15.9,30.2,22.4,33,32.8,72.3,69.5,29.6,24.1,30.9,30.5,27.4,27.6,27.8,2.19E-04,4.00E-04,N/A,8.45E-07,1.71E-03,3.84E-05,N/A,N/A,5.88E-06,1.63E-05,4.62E-03,9.38E-05,7.97E-06,2.58E-05,2.26E-06,12
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000112367.6,FIG4,protein coding,Protein-coding transcript,"chr6:110,012,499-110,146,631",46.4,46,46.6,72,23,20,5.8,7.9,19.9,18,19.3,18.3,19.2,19.5,17.9,N/A,N/A,6.79E-10,2.97E-03,N/A,N/A,N/A,N/A,N/A,2.33E-04,N/A,2.16E-02,3.01E-02,N/A,N/A,5
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000113621.10,TXNDC15,protein coding,Protein-coding transcript,"chr5:134,209,493-134,237,215",13.6,15.3,18.5,15.2,14.4,12.8,15.5,17.4,14.5,15.9,14.1,17,15.3,16.1,15,3.57E-05,7.88E-11,3.30E-11,6.48E-12,4.47E-12,4.69E-13,N/A,N/A,5.73E-13,1.00E-11,2.13E-08,1.72E-11,7.19E-12,1.29E-11,2.92E-12,13
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000115138.6,POMC,protein coding,Protein-coding transcript,"chr2:25,383,722-25,391,772",1,0.5,2.1,0.8,0.7,1.9,1.5,1.9,1.9,2.1,1.7,0.6,1,1,2.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.35E-03,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000115355.11,CCDC88A,protein coding,Protein-coding transcript,"chr2:55,514,978-55,647,057",51.7,52.2,6.5,8.6,9,10.3,2.4,2.3,8.3,4,7,8.9,6.3,7.2,4.6,N/A,N/A,N/A,4.69E-09,N/A,N/A,2.72E-07,2.75E-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000115677.12,HDLBP,protein coding,Protein-coding transcript,"chr2:242,166,679-242,256,476",50.3,63.8,42.9,27.1,40.8,39.4,51.4,59.3,34.7,44.9,43.6,40.7,44.7,43.1,49.6,1.51E-04,2.00E-02,N/A,1.70E-06,1.75E-08,7.86E-07,N/A,2.28E-02,9.40E-09,1.48E-09,1.78E-02,7.08E-06,6.05E-11,1.27E-10,2.82E-07,13
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000115970.14,THADA,protein coding,Protein-coding transcript,"chr2:43,393,800-43,823,185",12,13.3,18.7,28.5,27.2,25.9,19,20.3,25.6,26.8,28.2,31.5,29.3,31.6,25.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.74E-04,N/A,N/A,N/A,N/A,N/A,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000117115.8,PADI2,protein coding,Protein-coding transcript,"chr1:17,393,256-17,445,948",55.3,0.2,0.1,0.1,0.1,0.1,0,0,0.1,0.2,0,0,0,0,0.1,5.03E-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000118579.7,MED28,protein coding,Protein-coding transcript,"chr4:17,616,254-17,635,728",96.7,118,150.2,160.1,184.5,174.4,234.7,225.6,198.3,145.1,122.2,121.5,127,130.8,155.4,N/A,N/A,1.13E-03,1.85E-05,3.92E-03,1.12E-04,N/A,N/A,N/A,1.60E-02,9.14E-03,2.69E-04,N/A,9.79E-05,3.69E-02,9
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000119655.4,NPC2,protein coding,Protein-coding transcript,"chr14:74,942,895-74,960,880",461.5,504.6,49.2,72.5,48.1,37.1,15.9,13.2,52,51.5,51.6,45.9,50.8,43.7,51.7,N/A,1.46E-03,N/A,N/A,3.25E-06,5.95E-06,1.55E-04,2.03E-04,1.86E-06,6.25E-08,1.85E-10,9.91E-11,1.91E-15,3.25E-15,4.56E-11,12
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000119729.6,RHOQ,protein coding,Protein-coding transcript,"chr2:46,768,945-46,810,260",81.7,108.9,47.7,127.1,21.4,24,18.8,19.9,22.5,12.3,15.6,20,14.4,15.6,13.2,N/A,N/A,N/A,N/A,1.07E-04,2.34E-03,N/A,N/A,2.52E-03,N/A,6.20E-03,3.90E-02,1.78E-02,1.29E-02,9.70E-03,8
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000120860.6,CCDC53,protein coding,Protein-coding transcript,"chr12:102,406,705-102,455,927",18.2,39.3,28.2,40.1,39.1,37.4,10.9,16.1,38,38.2,30.7,33,36.4,34.9,30.8,4.64E-02,8.53E-05,N/A,3.02E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000124564.13,SLC17A3,protein coding,Protein-coding transcript,"chr6:25,833,294-25,882,514",0,0,1.8,0.1,0.1,0.1,0,0,0,0.2,2.5,7.5,3.5,0.9,0.6,N/A,N/A,4.19E-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.09E-11,1.93E-15,2.06E-15,N/A,N/A,4
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000124575.5,HIST1H1D,protein coding,Protein-coding transcript,"chr6:26,234,440-26,235,216",1.3,1,2.8,0.6,2.3,1.9,0.1,0.1,4.1,2.7,3.9,2.6,2.9,3.4,3.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.03E-02,N/A,3.81E-02,1.29E-02,N/A,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000124713.5,GNMT,protein coding,Protein-coding transcript,"chr6:42,928,496-42,931,618",7.9,10.9,4.4,4.4,4.1,5.9,2.4,2.8,5.1,6,4.9,3,4.2,4.8,6.1,5.14E-06,6.18E-05,N/A,2.14E-02,N/A,7.21E-03,N/A,3.28E-02,N/A,2.92E-06,1.31E-03,1.44E-03,3.97E-05,9.94E-04,2.67E-02,11
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000124813.16,RUNX2,protein coding,Protein-coding transcript,"chr6:45,295,894-45,632,086",21.2,5.6,13.1,1,21.4,72,6.6,24,19.9,89.1,63.5,173.3,114.8,82,43.3,N/A,N/A,N/A,N/A,3.30E-03,1.03E-02,4.15E-02,N/A,N/A,2.34E-08,N/A,N/A,N/A,N/A,N/A,4
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000124920.9,MYRF,protein coding,Protein-coding transcript,"chr11:61,520,114-61,555,990",0.6,0.3,6.7,0.8,0.8,0.9,0.3,0.4,1,1.2,2.3,1.9,1.3,1.3,1,N/A,N/A,5.05E-03,N/A,N/A,N/A,N/A,N/A,N/A,3.26E-07,2.67E-04,N/A,2.10E-02,6.21E-04,3.90E-03,6
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000126860.7,EVI2A,protein coding,Protein-coding transcript,"chr17:29,644,578-29,648,902",344.5,135.5,66,25.1,161.7,111.7,507.1,388.5,193.5,98.9,105.6,125.7,121.8,138.5,116.5,N/A,5.66E-03,4.64E-03,6.39E-09,N/A,N/A,N/A,N/A,3.59E-08,3.67E-07,N/A,2.02E-04,8.26E-05,5.36E-07,1.60E-04,9
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000127080.5,IPPK,protein coding,Protein-coding transcript,"chr9:95,375,466-95,432,547",1.9,2.6,4,3.3,3.5,3.6,4.8,5.9,3.3,3.8,4.1,3.4,3.5,3.6,4.4,N/A,N/A,N/A,N/A,N/A,N/A,7.44E-05,N/A,N/A,N/A,3.19E-02,N/A,N/A,N/A,N/A,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000127838.9,PNKD,protein coding,Protein-coding transcript,"chr2:219,135,115-219,211,516",63.3,41.8,8.4,5.1,7.2,8.5,2,2.8,8.3,11.6,8.9,6.1,8,8.1,10.8,4.25E-05,5.64E-08,N/A,N/A,3.25E-02,N/A,N/A,N/A,N/A,N/A,N/A,3.26E-02,2.73E-02,N/A,N/A,5
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000129003.11,VPS13C,protein coding,Protein-coding transcript,"chr15:62,144,588-62,352,672",33.3,64.6,72.4,121.7,63.7,53.2,33,32.9,80.9,53.3,53.6,65.3,49.7,55.2,46.2,6.20E-03,2.58E-02,5.78E-03,1.30E-05,N/A,3.66E-02,N/A,1.75E-02,N/A,N/A,1.64E-02,N/A,8.52E-03,N/A,3.38E-02,9
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000130338.8,TULP4,protein coding,Protein-coding transcript,"chr6:158,733,692-158,932,860",10.5,11.3,19.9,30,19.2,17.1,27.9,19.5,25.9,47,23.6,23,18.5,18.3,29,5.73E-08,8.38E-12,N/A,3.36E-06,N/A,N/A,N/A,3.35E-03,2.18E-02,N/A,N/A,N/A,1.82E-02,N/A,N/A,6
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000130956.9,HABP4,protein coding,Protein-coding transcript,"chr9:99,212,483-99,253,618",0.7,2.9,5.1,4.7,21.5,18.8,5.4,7.3,30,26.3,22,18.5,20.3,20.1,25.1,N/A,N/A,4.47E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000131069.15,ACSS2,protein coding,Protein-coding transcript,"chr20:33,459,949-33,515,769",32.1,17.9,2.2,6.5,22.1,12.4,4.3,2.3,20.4,8.6,10.7,9.1,10.3,9.4,13.7,1.00E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.02E-03,2.72E-16,6.25E-10,4.17E-05,9.06E-03,6
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000132507.13,EIF5A,protein coding,Protein-coding transcript,"chr17:7,210,318-7,215,774",166.4,174.9,213.8,223.9,183.8,217.7,526.4,530.6,194.8,229.5,221.9,187,235.3,233.6,255.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.85E-02,5.90E-03,N/A,N/A,N/A,N/A,N/A,N/A,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000134575.5,ACP2,protein coding,Protein-coding transcript,"chr11:47,260,853-47,270,457",10.7,26.2,12,5.8,8.3,8.1,9.3,11.1,8.9,15.6,11.6,9,10,10.3,12.8,8.92E-05,1.31E-02,N/A,N/A,N/A,N/A,N/A,3.23E-03,2.26E-02,2.41E-02,N/A,N/A,N/A,N/A,N/A,5
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000134824.9,FADS2,protein coding,Protein-coding transcript,"chr11:61,560,452-61,634,826",3.8,4.7,17,1.3,0.9,1,0.1,0.3,0.9,2,2.3,1.1,1.6,1.5,2.2,2.82E-10,8.48E-10,1.55E-09,1.67E-15,N/A,N/A,N/A,N/A,N/A,4.12E-13,1.92E-12,3.09E-10,7.36E-15,7.63E-12,3.01E-14,10
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000134825.9,TMEM258,protein coding,Protein-coding transcript,"chr11:61,535,973-61,560,274",64.8,59.9,57.6,33.6,57.3,57.1,50.1,62.5,54.2,73,68.6,58.7,68.9,72.8,61.1,N/A,N/A,N/A,1.44E-04,2.91E-03,1.27E-02,N/A,N/A,2.02E-04,3.37E-03,8.09E-03,N/A,6.19E-03,4.42E-03,2.97E-03,9
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000134852.10,CLOCK,protein coding,Protein-coding transcript,"chr4:56,294,070-56,413,305",9.2,22,22.5,22,20.9,22.2,19.2,14.7,26.3,22.6,20.7,31.7,29.4,26.6,19.4,N/A,5.16E-03,N/A,4.09E-03,N/A,1.26E-04,1.70E-02,N/A,4.90E-08,1.37E-03,N/A,N/A,N/A,5.40E-05,6.52E-03,8
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000135390.13,ATP5G2,protein coding,Protein-coding transcript,"chr12:54,026,510-54,071,192",146.8,128.5,98.2,82.3,127.9,128.9,62.3,67.9,139.3,168.1,136.7,116.2,141,132.5,153.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.01E-04,N/A,N/A,N/A,N/A,N/A,N/A,1.41E-02,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000135535.10,CD164,protein coding,Protein-coding transcript,"chr6:109,687,717-109,703,762",115.3,173.1,180.5,149.8,98,81.9,138.4,109.9,147.3,70,77.9,110.8,74.8,92.8,76.3,N/A,N/A,N/A,N/A,N/A,1.98E-06,N/A,3.83E-02,N/A,N/A,N/A,3.38E-02,N/A,N/A,N/A,3
